DWT,Displacement,LOA,LPP,Beam,Depth,Draught,CB,LeB
500000,590000,415,392,73,30.5,24,0.86,0.83
400000,475000,380,358,68,29.2,23,0.85,0.83
350000,420000,365,345,65.5,28,22,0.85,0.83
300000,365000,350,330,63,27,21,0.84,0.83
275000,335000,340,321,61,26.3,20.5,0.84,0.83
250000,305000,330,312,59,25.5,19.9,0.83,0.83
225000,277000,320,303,57,24.8,19.3,0.83,0.83
200000,246000,310,294,55,24,18.5,0.82,0.83
175000,217000,300,285,52.5,23,17.7,0.82,0.83
150000,186000,285,270,49.5,22,16.9,0.82,0.83
125000,156000,270,255,46.5,21,16,0.82,0.83
100000,125000,250,236,43,19.8,15.1,0.82,0.83
80000,102000,235,223,40,18.7,14,0.82,0.83
70000,90000,225,213,38,18.2,13.5,0.82,0.83
60000,78000,217,206,36,17,13,0.81,0.83
50000,66000,210,200,32.2,16.4,12.6,0.81,0.83
40000,54000,200,190,30,15.4,11.8,0.8,0.83
30000,42000,188,178,28,14.2,10.8,0.78,0.83
20000,29000,174,165,24.5,12.6,9.8,0.73,0.83
10000,15000,145,137,19,10,7.8,0.74,0.83
5000,8000,110,104,15,8.6,7,0.73,0.83
3000,4900,90,85,13,7.2,6,0.74,0.83
400000,464000,375,356,62.5,30.6,24,0.87,0.83
350000,406000,362,344,59,29.3,23,0.87,0.83
300000,350000,350,333,56,28.1,21.8,0.86,0.83
250000,292000,335,318,52,26.5,20.5,0.85,0.83
200000,236000,315,300,48.5,25,19,0.85,0.83
150000,179000,290,276,44,23.3,17.5,0.84,0.83
125000,150000,275,262,41.5,22.1,16.5,0.84,0.83
100000,121000,255,242,39,20.8,15.3,0.84,0.83
80000,98000,240,228,36.5,19.4,14,0.84,0.83
60000,74000,220,210,33.5,18.2,12.8,0.82,0.83
40000,50000,195,185,29,16.3,11.5,0.8,0.83
20000,26000,160,152,23.5,12.6,9.3,0.78,0.83
10000,13000,130,124,18,10,7.5,0.78,0.83
70000,100000,280,266,41.8,23.6,13.8,0.65,0.83
65000,92000,274,260,41.2,23.2,13.5,0.64,0.83
60000,84000,268,255,39.8,22.8,13.2,0.63,0.83
55000,76500,261,248,38.3,22.4,12.8,0.63,0.83
60000,83000,290,275,32.2,22.8,13.2,0.71,0.83
55000,75500,278,264,32.2,22.4,12.8,0.69,0.83
50000,68000,267,253,32.2,22.1,12.5,0.67,0.83
45000,61000,255,242,32.2,21.4,12.2,0.64,0.83
40000,54000,237,225,32.2,20.4,11.7,0.64,0.83
35000,47500,222,211,32.2,19.3,11.1,0.63,0.83
30000,40500,210,200,30,18.5,10.7,0.63,0.83
25000,33500,195,185,28.5,17.5,10.1,0.63,0.83
20000,27000,174,165,26.2,16.2,9.2,0.68,0.83
15000,20000,152,144,23.7,15,8.5,0.96,0.83
10000,13500,130,124,21.2,13.3,7.3,0.7,0.83
40000,54500,209,199,30,18,12.5,0.73,0.83
35000,48000,199,189,28.9,17,12,0.73,0.83
30000,41000,188,179,27.7,16,11.3,0.73,0.83
25000,34500,178,169,26.4,15.4,10.7,0.72,0.83
20000,28000,166,158,24.8,13.8,10,0.71,0.83
15000,21500,152,145,22.6,12.8,9.2,0.71,0.83
10000,14500,133,127,19.8,11.2,8,0.72,0.83
5000,7500,105,100,15.8,8.5,5.4,0.74,0.83
2500,4000,85,80,13,6.8,5,0.77,0.83
50000,25000,197,183,30.6,16.5,7.1,0.63,0.41
40000,21000,187,174,28.7,15.7,6.7,0.63,0.41
35000,19000,182,169,27.6,15.3,6.5,0.63,0.41
30000,17000,175,163,26.5,14.9,6.3,0.62,0.41
25000,15000,170,158,25.3,14.5,6.1,0.62,0.41
20000,13000,164,152,24.1,14.1,5.9,0.6,0.41
15000,10.5,155,144,22.7,13.6,5.6,0.57,0.41
80000,44000,272,231,35,20,8,0.68,0.41
70000,38000,265,225,32.2,19.3,7.8,0.67,0.41
60000,34000,252,214,32.2,18.8,7.6,0.65,0.41
50000,29000,234,199,32.2,18,7.1,0.64,0.41
40000,24000,212,180,32.2,17.3,6.5,0.64,0.41
35000,21000,192,164,32.2,17,6.3,0.63,0.41
40000,640,83,73,23.2,4,2,0.43,0.49
5000,800,88,78,24.7,4.2,2.1,0.44,0.49
6000,960,95,84,26.6,4.4,2.2,0.44,0.49
3000,4200,90,85,14,6.8,5.9,0.6,0.41
2500,3500,85,81,13,6.4,5.6,0.59,0.41
2000,2700,80,76,12,6,5.3,0.56,0.41
1500,2200,76,72,11.3,5.8,5.1,0.53,0.41
1200,1900,72,68,11.1,5.7,5,0.5,0.41
1000,1600,70,66,10.5,5.4,4.8,0.48,0.41
700,1250,65,62,10,5.1,4.5,0.45,0.41
500,800,55,53,8.6,4.5,4,0.44,0.41
250,400,40,38,7,4,3.5,0.43,0.41
0,0,0,0,0,0,0,0.52,0.41
0,0,0,0,0,0,0,0.62,0.5
0,0,0,0,0,0,0,0.46,0.35
0,0,0,0,0,0,0,0.6,0.41
0,0,0,0,0,0,0,0.8,0.83
