mmsi,width,length,draught,obstime,longitude,latitude,sog,cog,WaterDepth,typecargo,,,,,,,,,,,,,,,,
209459000,23,148,9,2023-03-05T11:32:03Z,103.7378833,1.262588333,12.2,233.3,22.2955,70,,,,,,,,,,,,,,,,
209459000,23,148,9,2023-03-05T11:33:03Z,103.7350617,1.260531667,12.5,233.2,24.3101,70,,,,,,,,,,,,,,,,
209459000,23,148,9,2023-03-05T11:34:05Z,103.7321483,1.25836,12.6,234,18.201,70,,,,,,,,,,,,,,,,
209459000,23,148,9,2023-03-05T11:35:05Z,103.729275,1.256268333,12.6,235.8,17.0006,70,,,,,,,,,,,,,,,,
209540000,22,139,7,2023-03-02T03:22:12Z,103.73662,1.26064,13.9,236.1,30.958,9,,,,,,,,,,,,,,,,
209540000,22,139,7,2023-03-02T03:23:12Z,103.7334,1.258466667,14,236.6,19.3656,9,,,,,,,,,,,,,,,,
209540000,22,139,7,2023-03-02T03:24:12Z,103.7301267,1.256341667,14.1,237.5,17.1568,9,,,,,,,,,,,,,,,,
209798000,32,260,11,2023-03-19T04:42:00Z,103.7374483,1.260776667,14.4,240,28.4004,71,,,,,,,,,,,,,,,,
209798000,32,260,11,2023-03-19T04:43:00Z,103.7340317,1.258776667,14,239.6,20.1393,71,,,,,,,,,,,,,,,,
209798000,32,260,11,2023-03-19T04:44:12Z,103.730045,1.256465,13.6,240,17.3132,71,,,,,,,,,,,,,,,,
210497000,30,185,9,2023-03-12T12:22:51Z,103.7401717,1.26316,9.7,241.1,21.6116,70,,,,,,,,,,,,,,,,
210497000,30,185,9,2023-03-12T12:23:51Z,103.73772,1.261765,9.9,240.1,23.8412,70,,,,,,,,,,,,,,,,
210497000,30,185,9,2023-03-12T12:24:51Z,103.7352333,1.260356667,10.1,241.4,23.7626,70,,,,,,,,,,,,,,,,
210497000,30,185,9,2023-03-12T12:25:52Z,103.7328967,1.258778333,10.2,235.5,18.5038,70,,,,,,,,,,,,,,,,
210497000,30,185,9,2023-03-12T12:26:52Z,103.7305483,1.25714,10.2,235.9,18.1716,70,,,,,,,,,,,,,,,,
212330000,20,117,5,2023-03-08T04:00:11Z,103.74506,1.26499,11.8,247.5,23.8303,70,,,,,,,,,,,,,,,,
212330000,20,117,5,2023-03-08T04:01:21Z,103.7416217,1.263153333,12,241.1,20.1453,70,,,,,,,,,,,,,,,,
212330000,20,117,5,2023-03-08T04:02:21Z,103.73869,1.261491667,12.1,240.9,20.0311,70,,,,,,,,,,,,,,,,
212330000,20,117,5,2023-03-08T04:03:21Z,103.7357267,1.259808333,12.2,240.1,23.1823,70,,,,,,,,,,,,,,,,
212330000,20,117,5,2023-03-08T04:04:21Z,103.7327833,1.258131667,12.1,240.3,19.0621,70,,,,,,,,,,,,,,,,
212330000,20,117,5,2023-03-08T04:06:11Z,103.7277167,1.25529,10.5,241.3,19.653,70,,,,,,,,,,,,,,,,
212348000,40,304,10,2023-03-10T00:59:50Z,103.7418333,1.2667,9.1,223,17.987,70,,,,,,,,,,,,,,,,
212348000,40,304,10,2023-03-10T01:00:50Z,103.74,1.264933333,9.6,227,20.3426,70,,,,,,,,,,,,,,,,
212348000,40,304,10,2023-03-10T01:01:50Z,103.738,1.263133333,9.9,228,24.8186,70,,,,,,,,,,,,,,,,
212348000,40,304,10,2023-03-10T01:03:50Z,103.7335833,1.2593,10.4,229,19.9804,70,,,,,,,,,,,,,,,,
212348000,40,304,10,2023-03-10T01:05:19Z,103.7302333,1.256466667,10.7,230,17.1568,70,,,,,,,,,,,,,,,,
212348000,40,304,10,2023-03-10T01:06:20Z,103.72795,1.2546,10.8,231,18.3481,70,,,,,,,,,,,,,,,,
212351000,40,304,13,2023-03-02T21:13:59Z,103.7431167,1.267466667,8.9,225,21.3056,70,,,,,,,,,,,,,,,,
212351000,40,304,13,2023-03-02T21:15:49Z,103.7392833,1.264333333,10.1,231,22.3577,70,,,,,,,,,,,,,,,,
212351000,40,304,13,2023-03-02T21:16:49Z,103.7370333,1.2625,10.4,230,21.1267,70,,,,,,,,,,,,,,,,
212351000,40,304,13,2023-03-02T21:17:49Z,103.73485,1.260716667,10.2,230,25.4684,70,,,,,,,,,,,,,,,,
212351000,40,304,13,2023-03-02T21:18:50Z,103.7326333,1.258866667,10.1,231,17.8767,70,,,,,,,,,,,,,,,,
212351000,40,304,13,2023-03-02T21:19:50Z,103.73045,1.257183333,10,234,18.0643,70,,,,,,,,,,,,,,,,
212744000,20,120,8,2023-03-09T11:42:38Z,103.7441533,1.264368333,8.6,239,19.7195,89,,,,,,,,,,,,,,,,
212744000,20,120,8,2023-03-09T11:44:38Z,103.74,1.26179,8.8,237.7,22.6052,89,,,,,,,,,,,,,,,,
212744000,20,120,8,2023-03-09T11:45:38Z,103.7379067,1.260456667,8.9,237.6,23.1511,89,,,,,,,,,,,,,,,,
212744000,20,120,8,2023-03-09T11:46:38Z,103.7358433,1.259116667,9,237.1,22.136,89,,,,,,,,,,,,,,,,
212744000,20,120,8,2023-03-09T11:47:49Z,103.73335,1.257506667,9,237.5,20.4397,89,,,,,,,,,,,,,,,,
212744000,20,120,8,2023-03-09T11:48:49Z,103.7312267,1.256163333,9,238.2,18.55,89,,,,,,,,,,,,,,,,
212939000,20,117,6,2023-03-04T03:37:19Z,103.7401067,1.267076667,12.5,228.5,19.6422,71,,,,,,,,,,,,,,,,
212939000,20,117,6,2023-03-04T03:38:19Z,103.7372933,1.264625,13.4,229.7,22.0487,71,,,,,,,,,,,,,,,,
212939000,20,117,6,2023-03-04T03:39:19Z,103.7343783,1.26213,14,230.1,25.2578,71,,,,,,,,,,,,,,,,
212939000,20,117,6,2023-03-04T03:41:19Z,103.72786,1.257466667,14.6,239.5,17.7416,71,,,,,,,,,,,,,,,,
215154000,52,366,14,2023-03-08T22:49:50Z,103.7425683,1.264728333,9.1,239.6,20.0357,71,,,,,,,,,,,,,,,,
215154000,52,366,14,2023-03-08T22:50:50Z,103.7403883,1.263441667,9.2,239.1,22.058,71,,,,,,,,,,,,,,,,
215154000,52,366,14,2023-03-08T22:51:50Z,103.738195,1.262116667,9.3,238.5,21.0204,71,,,,,,,,,,,,,,,,
215154000,52,366,14,2023-03-08T22:52:50Z,103.735925,1.260741667,9.3,238,24.8956,71,,,,,,,,,,,,,,,,
215154000,52,366,14,2023-03-08T22:53:50Z,103.7337367,1.25938,9.3,237,19.9804,71,,,,,,,,,,,,,,,,
215154000,52,366,14,2023-03-08T22:55:50Z,103.7295467,1.256463333,9.2,234,17.0831,71,,,,,,,,,,,,,,,,
215154000,52,366,14,2023-03-08T22:56:50Z,103.7274067,1.254953333,9.4,235.1,19.3899,71,,,,,,,,,,,,,,,,
215401000,44,250,8,2023-03-04T16:53:48Z,103.745145,1.267848333,8.2,203.7,23.9813,80,,,,,,,,,,,,,,,,
